zip3,primary_state,primary_city,centroid_lat,centroid_lng,zip5_count,population,households,median_hh_income,demand_index
875,NM,Santa Fe,36.10852,-105.87744,71,239900,100566,71220,12.7
877,NM,Las Vegas,35.99436,-104.8268,30,37773,16760,44688,4.3
878,NM,Socorro,33.98209,-107.75601,12,16610,5598,40784,3.3
879,NM,Truth Or Consequences,32.91667,-107.15244,12,16213,6612,35461,2.5
880,NM,Las Cruces,32.43126,-107.54182,50,284060,105093,49750,10.5
881,NM,Clovis,34.19737,-103.50806,23,69551,26417,54044,6.4
882,NM,Hobbs,32.73049,-103.90455,28,198927,70306,65292,10.9
883,NM,Alamogordo,33.31657,-105.70528,33,78229,30735,49855,6.0
884,NM,Tucumcari,35.67488,-103.80942,24,16704,6361,40919,3.3
885,TX,El Paso,31.69484,-106.29999,77,,,,
889,NV,The Lakes,36.12519,-114.89589,2,,,,
890,NV,Henderson,36.5337,-115.3777,52,710979,260397,77817,23.9
891,NV,Las Vegas,36.05851,-115.1108,66,1611943,595812,70708,42.6
893,NV,Ely,39.35673,-115.19424,9,10361,3864,73757,8.0
894,NV,Sparks,39.73369,-119.0775,48,321827,123022,83069,16.2
895,NV,Reno,39.91407,-119.69584,20,320218,131122,83362,16.2
897,NV,Carson City,39.18228,-119.76847,11,69837,28071,70762,8.9
898,NV,Elko,40.94552,-115.62532,19,59726,21508,90384,11.5
900,CA,Los Angeles,33.80884,-118.29028,95,2438602,891060,70733,60.7
901,CA,Los Angeles,33.78659,-118.29866,5,,,,
902,CA,Beverly Hills,33.82841,-118.27081,50,1225280,403414,96481,37.9
903,CA,Inglewood,33.78659,-118.29866,15,130422,42444,66256,9.5
904,CA,Santa Monica,33.78659,-118.29866,11,94344,47122,111409,15.4
905,CA,Torrance,33.79622,-118.29865,10,174425,64014,103652,16.0
906,CA,Whittier,33.79455,-118.06485,35,730783,216741,93474,26.7
907,CA,Lakewood,33.78899,-118.14468,30,632350,204601,90243,24.0
908,CA,Long Beach,33.78812,-118.20944,29,472584,173113,79812,19.0
910,CA,Arcadia,33.78659,-118.29866,26,284967,100791,113640,19.9
911,CA,Pasadena,33.78659,-118.29866,31,165463,65797,106837,16.3
912,CA,Glendale,33.78659,-118.29866,16,207289,77192,86229,14.1
913,CA,Northridge,33.84022,-118.37682,74,1417543,455403,104474,43.3
914,CA,Van Nuys,33.78659,-118.29866,23,313396,114169,76628,15.1
915,CA,Burbank,33.78659,-118.29866,13,110457,44660,93921,13.2
916,CA,North Hollywood,33.78659,-118.29866,17,213664,87407,80847,13.5
917,CA,Pomona,34.03934,-117.62195,68,1969222,588082,90552,53.3
918,CA,Alhambra,33.78659,-118.29866,7,82326,30085,79858,10.5
919,CA,Chula Vista,32.90024,-116.90478,40,594682,191084,93592,23.7
920,CA,Escondido,33.00351,-116.92309,62,1311692,449443,101582,40.5
921,CA,San Diego,32.89038,-116.99284,85,1378892,507687,102607,42.2
922,CA,Palm Desert,33.62702,-115.92877,58,805066,288274,65630,24.2
923,CA,Fontana,34.68447,-116.25379,72,1211853,362806,77692,34.9
924,CA,San Bernardino,34.63456,-116.20601,19,252698,70329,63590,11.8
925,CA,Riverside,33.72505,-116.1888,59,1540024,441391,89590,43.8
926,CA,Irvine,33.62038,-117.74721,61,1410088,527409,125785,46.3
927,CA,Santa Ana,33.65039,-117.78238,18,476473,132876,95181,21.3
928,CA,Anaheim,33.65932,-117.54129,61,1288199,390879,104486,40.5
930,CA,Ventura,34.18776,-119.13504,42,708192,227436,99383,27.0
931,CA,Santa Barbara,34.35464,-119.82479,21,192122,69720,107828,17.0
932,CA,Visalia,35.88531,-119.07226,71,800954,232745,61357,23.5
